Survey_feedback,sentiment_label,Very Poisitve,Poisitve But Critical,Neutral,Negative,Very Negative
"The parking is limited and the overflow is a long ways away for carrying your luggage. My room was horrible. The mold and mildew made my asthma react. After an hour in the room, I requested a different room. I felt as though it was an inconvenience for them. Desk person acted as though I was making it up. He was slow to respond. They brought no luggage cart to move things to new room. By then I didnâ€™t care anymore and just needed to get a different room. 2nd room has much better. Air was good. No mold and mildew smell.",Negative,,,,,
"Heat only got to 64 degrees. Brought me a heater the size of my one cup coffee maker. Wish there was a refund policy on hotels. If it wasnâ€™t for group hotel booking, would have used my Hilton gold benefits elsewhere. Food was subpar with bones in walleye, still frozen cake, and undercooked rice. I travel a lot and never have complaints, but this was an overpriced Motel 6.",Positive,,,,,
We thought it was odd that there were no tissues in the room.,Negative,,,,,
The menu in the room for room service only had 4 items to choose from so most of us had to leave to get a nice meal.,Positive,,,,,
"I did not have an enjoyable stay! The toilet ran the whole first night. It didn't get fixed by second night so they moved me. My room was never restocked with towels or shampoo and I had to call for those items twice before finally receiving.  Third night I was woke up early in the morning by some sort of maintenance work next door. I am supposed to come for another Opioids Forum the first week in April. I am hesitant to book a room for 3 nights again there. I would love for you to comp my room for the April stay to win back my loyalty. Please have a manager reach out to me asap! 
Tamara Eden 
(608) 495-2515",Positive,,,,,
"I think I could retire and live in the room I stayed in.  My only sadness was over the parking.  I arrived late evening and had to park in overflow, but the sky walk helped ease my pain!  I look forward to returning.",Positive,,,,,
My room was not clean as I would have expected it to be.,Positive,,,,,
I had to have housekeeping take care of something in the room which they did promptly and very courteously.  Later that evening I closed the curtains and there were stains.  I'm not sure why they would be there if someone had checked the room before I arrived.  I was too tired at that point to call so I just slept in the bed farthest from the window.,Positive,,,,,
Staff were friendly and helpful,Positive,,,,,
"We came up on Monday, late afternoon. The hot tub was barely room temp. On Tuesday afternoon, the hot tub was super hot and enjoyable.",Positive,,,,,
my room was way too warm!,Positive,,,,,
Elevator is super slow.  I had to ride it up and down several times before it let me off.,Positive,,,,,
"A very nice Hotel, I really like my room!",Positive,,,,,
"Our room was extremely hot. We adjusted the thermostat and went to our conference and did not realize that it did not work. After the conference we went to dinner. By the time we got back we noticed it was a little warm and reset the thermostat again. We woke up sweating and I got very sick. When I told the front desk, I was informed the air is not turned on yet and I should have asked for a fan. I missed a day of my conference and was basically told it was my fault.",Negative,,,,,
Comfortable and updated room were wonderful. Your staff were very friendly and courteous!,Positive,,,,,
"1.  Fitness Center was very nice and clean.
2.  I was unable to get the thermostat in my room to regulate/cool the room down.",Positive,,,,,
LOVED my visit. Staff were very friendly and efficient. The rooms were clean and quiet with a great bed and so much space. Beautiful hotel and conference center. Thanks!,Positive,,,,,
"The room was missing a pen/paper, a tissue box in the bathroom and no one answered at the front desk when I went to request these items. The room had a smaller TV than it had the last time we stayed, which was disappointing.",Negative,,,,,
"Noely San Juan does a great job at check-in !!!   Only complaint with the rooms is that they should have installed high-line, elongated toilets when they did the most recent renovation.",Positive,,,,,
"Hotel is great, breakfast bar was not that good.  Food was on the colder side at around 7am.  The room and service from the staff are top notch and I would definitely return.  Appreciated the night lights under the bedside table and the sanitizing wipe for the remote control, both were a nice touch not found in other properties.",Positive,,,,,
"It would be helpful if during the check-in process, you let your guests know there is an additional $25 hold charge added to your credit card until you check-out & the bills processes through your bank. This was not communicated & when I saw the additional charge added to my bill I had to call today to find out why I had an additional charge.",Positive,,,,,
"Breakfast is disappointing - flavorless, rubbery eggs with some green something sprinkled on them. Overcooked, over-peppered potatoes. Call the local burn unit to pick up the bacon, or call the local waste hauler to vacuum up the grease off the sausages. Messy, disorganized oatmeal, cereal and fruit. No condiments or additions for â€¦ well, anything. How about some shredded cheese, cream cheese, bacon bits â€¦ anything to spice up the mess that is breakfast. Beverage choices include watered down fruit juice and warm milk. And then to only offer the breakfast to rewards members? Outrageous - you get a better breakfast, offered to all guests, at cheaper hotels.",Negative,,,,,
A great facility with a very well trained and polite staff.  A pleasure to stay with you again!,Positive,,,,,
The check-in lady for the breakfast buffet was very hard to understand. She asked us if we had a ticket? We did not but then she didnâ€™t explain you could go ahead and eat and then check out when youâ€™re done eating. It was very confusing. We almost didnâ€™t eat because of it but found out the food was fabulous. If the communication issue was taken care of it wouldâ€™ve been perfect.,Positive,,,,,
Parking..... parking and access to the parking ticket device during the winter.  A big negative,Negative,,,,,
Wonderful as always! Our home away from home ! :-D,Positive,,,,,
The water in my room was icky and came out a grayish color,Negative,,,,,
I hated that i could not cool the room down and run a constant fan. I had to open the outside door,Positive,,,,,
"The batteries in one of the remotes didnâ€™t work the first night. The second day housekeeping must have changed them. Very impressed with that housekeeper. The rooms are clean and well repaired where needed. Breakfast was amazing. Parking is my only complaint. However, I am getting used to the parking ramp.",Positive,,,,,
"The glasses in my room had lipstick marks on 2 of them, the ice bucket lid was sticky, the sink plunger in the sitting area was slimy and cobwebs in the corner on the ceiling.",Negative,,,,,
Room was not available at check in (did not get in room until after 4:30). Room was hot despite putting thermostat down to 63 degrees.,Positive,,,,,
Not a happy costumer late check in waited in lobby for over and hour!! Didnâ€™t get my wine or chocolate!! Had to park across the street no parking!! I have reservations for April 6th thinking about canceling,Positive,,,,,
"I understand your hotel had issues due to previous group messing up a bunch of rooms. Telling us ""Its a busy weekend, you will have to checkin several hours past time without any return compensation, is unacceptable"" You had a full hotel, you made money, and I assume the previous group that trashed the rooms, you charged extra for and made more. Telling us to tough it, now how you bring people back.",Negative,,,,,
"Very pleasant, would stay again.",Positive,,,,,
"Marlo neglected to tell me and my colleague about the water shut off the next day, nor did we get the customary paper notification at the front desk at check in or under our door that night",Negative,,,,,
we enjoyed the stay and staff.  they were helpful when ever we had a question.,Positive,,,,,
"The food was awful.  The hotel was wonderful!  My salmon was burned, they made me another, still crispy.  It took over an hour for us to get our food.  All three kids chicken tenders were dry and disgusting.  My friend had steak and 30 minutes after eating it  felt sick to his stomach. The managers offered us dessert.  I found that unacceptable.  Basically I had  30 dollar bill for nothing.  The Eggs were not fully cooked for breakfast and 2 people at our table ended up with diarrhea.",Negative,,,,,
Only complaint was how long I had to wait for my room to be available after checking in at 5:30,Negative,,,,,
"When Hyatt gives a 3 p.m. check in time, customers should not have to wait until 6:30 p.m. to have a room",Negative,,,,,
"Cafe verona starbucks in room was great!  Breakfast was great!  Bathroom small, elevator slow.  Overall great stay.",Positive,,,,,
Our room had no window. Is that in accordance with fire code?,Negative,,,,,
"During the stay I was suffering with a cold. So to have a room that could not have the temperature changed was not well. The loudness of the room heater was loud and disrupted sleep most every time is cycled and eventually the first night I slept on the sofa. On the second night, when I arrived in the room, the heater unit would not shut down, running constantly. Contacted the front desk for assistance, and the only thing offered would be to completely shut it off. That night I simply closed to the bedroom area and slept again on the sofa. Finally in the morning the unit shut off. But the room was no where to be considered 'warm'.
Meals: used the morning breakfast buffet; the first morning I noticed that the scrambled eggs were just 'warm' at best. The hash browns were also on the cool side. Butter was very hard and made it a challenge to spread on the toast. The second morning I went for the hash browns, pancakes and bacon. The hash browns were past cool to being simply cold as were the pancakes which of course could not melt that rock hard butter. The bacon at best was barely warm. Coffee however was fine.
The Breakout Conference Hall was chilly and several attendees wore sweaters or jackets.
Nice looking, clean facility, but wasn't that warm fuzzy feeling. 
Upon check out, the desk clerk was gracious and provided a discount for the room and meal. Thank you for that.",Positive,,,,,
"I brought a youth basketball team to the high school state tournament as I have done for several years always staying at the Hyatt Regency.  The front desk people are fantastic and are always polite and willing to help. However, this year i took the group of 8th grade girls for breakfast at the buffet in the Hyatt.  Was willing to pay full price for each girl as I knew the food was very good.  Was shocked when I received the bill and there was a 22% service charge added.  I explained to the server that the money comes from our youth organization and every dime goes to the kids and the service charge seemed excessive. She took the message back to her supervisor who said he/she would not remove the charge.  I paid the entire bill and then took the issue to the front desk explaining the same situation.  The front desk person remedied the situation immediately.",Positive,,,,,
Keep the service quality,Neutral,,,,,
"was noisy after 10 pm, due to high school basketball kids.  Did not like that I needed to bring in parking ticket for ""validation"" for free parking.",Positive,,,,,
"Overall my experience was wonderful. Only issue I didnâ€™t not like was the same time that I stayed there, there was a girls basketball tournament or event and the girls were all over the place, running up and down halls, and making the elevator stop on every floor when others were trying to use it. As I donâ€™t mind children nor that they were all over, I didnâ€™t not like the fact that I couldnâ€™t even go swimming my first night because there were so many people in the pool and it was unsafe for me to bring my child swimming. I would have preferred the hotel to inform me that there was a group that already booked for the same time. Or at lest told me when I checked it, I might have gone else where. Also the elevator were very slow, even the following two days the wait for the elevator was still a while. I also didnâ€™t like the parking situation. I did not know I had to pay to park there every night I was there, and if I couldnâ€™t find a parking spot in the main space I had to park across the street, as I normally wouldnâ€™t mind but when trying to carry a sleeping toddler from the parking garage to my room is a hassle while trying to carry in my luggage.",Positive,,,,,
"Our room was a little warm for our preference but we could not turn down the thermostat.  I texted the # on the card given us at check in with our key cards and received a response that it would be looked into.   When we returned to our room on the 2nd evening, we still were not able to turn down the thermostat.",Positive,,,,,
To be honest I was disappointed in my stay. I brought a friend there for his birthday just to get away and have a relaxing weekend. I won a gift certificate at my work Christmas party and was really looking forward to my stay. I wish I would have been informed when I called for a reservation that there were several things happening on the weekend and that there would be a lot of people staying there.  I have a child and love kids but we didn't use the pool or hot tub because there were a lot of kids in it during our stay. I was also told check in was at 3:00pm. We arrived shortly after 4:00pm and were told we would have to wait 30 to 90 minutes to be able to get in to our room. I was disappointed in the wait and the amount of people staying at the hotel. Had I known it was such a busy weekend we would have picked a different weekend to stay. I know my employer has given gift certificates for this hotel previously and am reluctant to them about my experience. I wish I had positive things to say about my stay but unfortunately I don't.,Positive,,,,,
"Room wasnâ€™t ready until after 4, and then I got something different I believe, otherwise why would you give a senior a room with no hand rails.
No hand rails in tub. Iâ€™m a senior citizen, and I could of used those to hold onto.
A bit noisy even after 10pm.
I think in general, the hotel needs updating.",Positive,,,,,
"Parking charge was a surprise when I read the bill and completely unexpected. 

Sounds seem to carry long and loud throughout the building even though closed doors to room.",Positive,,,,,
very clean hotel Very good food.Great experience,Positive,,,,,
The only downfall to our stay as we had no control over the heat. Our room never got below 73Â° and we had the door to the patio open and they had to bring us a fan. To not be able to control the temperature in a room is very disappointing.,Negative,,,,,
Front desk did not seem to understand how to do their job.,Neutral,,,,,
We just wish we had a bit more control on the temperature of the room,Positive,,,,,
"Our bed sheets had big brown stains on them. The room was very hot, we tried to turn down the heat but that wasn't working. There was no Fan setting on the thermostat to try to help with the hot room.",Negative,,,,,
The parking was atrocious.  With the parking area not fully plowed out many cars parked consumed two parking spaces which eliminated about 25% of the parking spaces.  Plus the entrance and exit gates were not working so no parking fees were applied and the lot ended being free parking for everyone.  I did bring this to the attention at checkout and the clerk acted like they cared less.,Positive,,,,,
"Loved the hotel but the bar was a disaster...I waited at least 15 minutes --maybe 20 -- for someone to even acknowledge me and then was told to wait again, to get two glasses of wine. Most of the time I was waiting there was no one behind the bar at all but servers kept passing by. I was with a large group of adults and kids that wanted food at different times and everyone said the same thing...super long waits. My only other issue would be the $7 charge for parking. Why should I have to pay to park? And shouldn't that be noted at the time of reservation or on the confirmation email? Otherwise, all your staff was lovely...my room was large, comfy and in beautiful condition...the kids loved the pool...that little shop across from the entry was super convenient. All good! Thanks!",Positive,,,,,
your shuttle driver glenn   top notch  chuck,Neutral,,,,,
"The last two times we stayed at the hotel the hot tub was just warm not hot. The steam room was not  functioning properly there was very little steam. The steam room and the hot tub are one of the main reasons we pick the Hyatt, it is disappointing when theyâ€™re not working properly.",Positive,,,,,
"We waited well over an hour for food and there werenâ€™t that many people in the restaurant. Could hear lobby noise in our room which kept our children up and then the heating unit was rather loud when it kicked on throughout the night too. Then we forgot an item and when we called to make sure it had been found werenâ€™t helped until we called back and forced the issue (we had been transferred to a voicemail and had a friend leaving the hotel soon, so needed to know if our item had been found so they could take it for us)",Positive,,,,,
The elevators were very slow.  Other than that it was a very nice experience.,Positive,,,,,
Woman at the check-in was very rude and snotty.,Negative,,,,,
Great stay and staff!,Positive,,,,,
Hello you guys always do a tremendous job at the Hyatt.,Neutral,,,,,
"The carpeting at the entrance to the bathroom is curing up,   long strands of hair were on the bathroom floor.  Not from my white head,  and i had no guests with me.   This is a very nice facility and I am already booked again.",Positive,,,,,
bathrooms could be cleaner,Positive,,,,,
"I would like a refund for the breakfast. The buffet my wife and I had was horrible. There was limited food when we got there (Out of eggs, sausage, hash browns, salmon), the food was late. The juices and water were all out. There was only one guy working the kitchen we were told. Felt rushed by the staff. Was not worth the money and very dissatisfied.",Positive,,,,,
Super pretty hotel. I loved the outer room with bar separated from the sleeping area. I plan to visit family in town and will invite them for a visit at the room.,Positive,,,,,
"Overall our favorite place to stay in Green Bay. Clean rooms, friendly staff, centrally located and reasonable price.",Positive,,,,,
One member of our party had a dog in their room.  We found the $100 fee to be much higher than any other hotel we had previously booked.,Neutral,,,,,
"Heating system was loud, room was usually cool and drafty. Found previous guest's underwear on floor in bedroom, under cabinets by TV",Positive,,,,,
Speed up the elevator service!,Neutral,,,,,
Third year family has stayed due to family function!  Love it,Positive,,,,,
All very good !,Positive,,,,,
"Our family had a very nice relaxing stay. Pool was nice and warm, room was spacious and modern, and restaurant had a lot of choices.",Positive,,,,,
"Front desk staff was superb. Omlettes in restaurant were excellent as was the staff. Older male bartender in lounge on Saturday evening was not good. No personality, seemed pissed and as if he wanted to go home. The bell staff could use some service training as well.",Positive,,,,,
Lousy front desk service,Negative,,,,,
Food took forever to get after ordered.,Positive,,,,,
"Haven't stayed there before.  Difficulty finding the hotel entrance.  Saw the sign at the road, but wasn't sure where to park at first.  Came up in a snow storm.",Negative,,,,,
The motion activated night light for trips to the bathroom was very helpful. I didnâ€™t know those existed. Also have long arm ice scrapers and umbrellas was very helpful as well.,Positive,,,,,
got charged $7 for parking which I never parked on the premises. Are heat to not work in a room and they didn't do nothing about it,Positive,,,,,
I didn't know there was a bar at the hotel.   Beds were great!   Pool and hot tub were good!  Parking situation a bit crowded and hard to find door in snow.,Positive,,,,,
your staff was helpful in getting me toiletries because my luggage was lost by airlines.,Neutral,,,,,
Excellent hotel and excellent value,Positive,,,,,
"I do not agree with charging your customers to park in your parking lot.  My truck was too tall for the overflow parking lot, so I was told I could park at one of the hooded meters on Elm Street.  I ended up getting a $37 parking ticket which the hotel paid, but I was charged $10/night to park there.",Positive,,,,,
A truly welcoming experience from the moment we walked in the door of the hotel.,Positive,,,,,
"Room was beautiful , was unfortunate that room had no fan system for night time sound. Staff handled  drunk person well that woke us up; would have  been nice if security had been patrolling the floors so things like that didn't happen.. pool and hot tub were always overcrowded to enjoy.",Positive,,,,,
We enjoyed our stay very much.  The only thing in our room that was not 100% was that the door if our mini fridge kept opening,Positive,,,,,
"We appreciated the size and amenities in the room.  However, it was miserably hot in our room our entire stay.  Turning the thermostat down did absolutely nothing. This was the case in almost every room on our floor as we stayed as a team for a hockey tournament and everyone was complaining about it.  Staff was kind enough to bring a fan to our room, but it seems odd that you would need a fan in the middle of February.  Also, I do not think the parking lot was monitored closely enough. On the weekends, the gate was up and it seemed anyone could park there, which meant paying guests could not use the lot b/c it was full.  Breakfast was delicious, but I would not have paid the $12.50 cost if it hadn't been included in our rate.  There are many nice hotels who offer a complimentary breakfast these days. Front desk staff was very nice and helpful.  Cleaning was prompt as well.",Positive,,,,,
I made an error when I ordered our Romance package breakfast. The staff were very forgiving and I am so grateful. It was the most relaxing weekend we could have had! Thank you,Positive,,,,,
"Our 1st room on 3rd floor was so loud we had asked the 2nd night to be moved. We got moved bit stayed on 3rd floor still. Room was better but still dirty floors, hair in the bathroom, & sticky counters. Breakfast was great for the buffet price included in our package. Pool was nice too.",Positive,,,,,
"Staff very Friendly starting with my reservations to check-in, dinning to needing assistance from the front desk. Breakfast staff was very warm and welcoming. Great start to the day.  We will be back and staying at your hotel soon.  Exception staff and hotel.  Thank you for a wonderful weekend.",Positive,,,,,
Very loud.  This was my second time staying here in the last 6 mo. (The first time was with a group of friends-this time a getaway for my spouse and I)- very disappointed by the volume and noise traveling from the atrium area.  I thought it was a fluke on the first trip.  Would have a hard time recommending.,Negative,,,,,
"I enjoyed the room except the room temperature remained at 75 degrees all weekend and we couldn't get it to go down.  I was also given the room of another person and walked into the already occupied room.  I was given another room and then the key didn't work.  I had to make multiple trips down to get in my room, which was a little annoying.  The staff were super apologetic and gave me a $15 credit at the market; however, the maintenance should be improved from the engineering standpoint.",Positive,,,,,
"Amazing experience.  Carrie, reservations manager, worked efficiently to fix a pricing mistake so it would not affect our hockey team as the mistake was on party of the Hyatt.  We were delivered a gift of cookies and milk on Friday night.  It was a nice surprise.  Breakfast was delicious.  The free room that was given to us to hang out in was wonderful.  The beds were amazingly comfortable.  I would highly recommend!!!",Positive,,,,,
We waited an hour after ordering for our food at lunch on Saturday.  Our dinners and breakfast buffet were very good.,Positive,,,,,
Room service was cold and 23 minutes later than promised. Chicken wings in restaurant were old tasting and very overcooked.,Positive,,,,,
"Only bad thing is that the elevators were SO SLOW.  I know there were lots of people at the hotel this weekend, however, I was on the 2nd level, and if there were at least a flight of stair to that level to the main lobby area, it could relieve some of the wait times.",Positive,,,,,
"There was a convention going on while I was staying at your hotel.  Unfortunately, the group was extremely loud on Monday evening.  I called the front desk to ask that they say something to them since I couldn't go to sleep due to the noise.  Again I had to call the front desk at 2:00 AM after the noise level never changed and I was still unable to sleep.  I stay frequently in hotels and had a great experience in the past, however; after no sleep with the 2 calls made I decided to pack up and go to another hotel for the rest of my stay.",Negative,,,,,
"This may have been a fluke...  one of our conference lunches - so this is catered - was so awful.  It was turkey, gravy, mashed potatoes, sitting on a piece of white wonder bread; bad flavor, no veggie or salad.  Otherwise, okay.  I am a picky and healthy eater.",Negative,,,,,
It would be great to know in advance if there isnâ€™t going to be a breakfast buffet as that impacts morning scheduling,Positive,,,,,
two bulbs out in the room; obviously a bit dated...,Neutral,,,,,
Your staff is AMAZING at that location. I have stayed there many times and have always had a great experience with them.,Positive,,,,,
The room had a strong musty smell so had to have the door open often. Other than that we had a great experience. One of my favorites for hockey tournaments for sure!,Positive,,,,,
Emma exhibited excellent customer service skills. All staff was AMAZING and I enjoyed my stay!  Thank you for everything!,Positive,,,,,
Food was provided at the Pomp's meeting.  Very tasty.,Positive,,,,,
"Good:  great breakfast buffet, spacious rooms, liked the sanitizer wipes for the remote controls
Needs improvement:  mattress and comforter in hide-a-bed had stains on them",Positive,,,,,
Shower in room 707 not very strong water pressure and especially Tuesday AM (2/19/19) not very hot,Negative,,,,,
"Morning Buffet was not as good as in the past. Busy with girls hockey, understandable. Coffee was tasted burnt.. But we will still return.. Comp breakfast for us next time, would be nice.",Positive,,,,,
"Loved the shuttle driver, Steve!",Positive,,,,,
"The staff were congenial and offered to help whether I was at the breakfast buffet, checking in, walking past the desk or in the hallway. When I needed help, they did it immediately and with a smile. There was a huge convention staying in the hotel. I could hear no noise in my suite because the front sitting room must act as a buffer; this is great designing. I will gladly stay here again.",Positive,,,,,
"water was not hot enough
carpet tiles were loose throughout the room",Negative,,,,,
"I checked in after 4pm and my room had not been cleaned. The beds were a mess and there was garbage. When it was cleaned, we did not get fitted sheets, just a normal sheet tucked in between the mattress and box spring. 
I was told when I made the reservation that I was getting a suite with 2 queen beds and a pull out couch. We got the special needs suite with 1 queen bed, 1 queen roll away bed, and a normal couch. Only half of the lights worked on our room. They were plugged in, just would not turn on. 
I have stayed here in years past and I feel like the price is going up but the quality of the hotel is declining.",Positive,,,,,
I've stayed there multiple times so I knew what to expect and it has always been good.,Positive,,,,,
Support staff clearly worked long hours and then returned for early shifts to accommodate needs of large meeting and did so with positivity - great job by the team!,Positive,,,,,
Living room tv slow to turn on.  The whirl pool should have an option to be cooler than 102 degrees. Kids pool sprinkler was a little loud.,Negative,,,,,
I was in Green Bay for a conference. The convention facilities were excellent.  Liked the area outside the restaurant for informal gathering. The food was also excellent and much better than expected. All staff was friendly and helpful.,Positive,,,,,
Outstanding customer service from all employees!,Positive,,,,,
I love this hotel and stay here whenever possible when in Green Bay Area.,Positive,,,,,
Front desk lost an item I wanted picked up by another guest,Negative,,,,,
The food in the bar was pretty good for bar food.  The meals (especially the lunch/dinner options) ranged from ok to unpalatable.  It would be a good idea to improve the quality of the stuff you serve to the attendees of conventions.,Positive,,,,,
Stayed at hotel for a conference.  Conference rooms were spacious.  Audio-visual equipment was in good working order.  Convenience of having large exhibit area in close proximity to meeting rooms was fabulous.,Positive,,,,,
Will be back!!!,Neutral,,,,,
"I had a few problems with the front desk staff - one of the families dropped something off at the front desk for me, and when I went to pick it up, there was no recollection of something being dropped off for me.  Second, we needed 6' or 8' long tables in two of the meeting rooms for our team dinner(s) on Saturday, Feb 16.  It took over 24 hours to get these tables.  We asked on Friday night for them, at 2pm on Saturday, we had to ask 3 more times to get them.  
The only other issue, is that the elevators are super super slow!!!!",Positive,,,,,
"Well to start I got the handicap accessible room!  But need the double queen bed I thought I reserved!  Part of this was my fault, other was him not seeing that we had our kids and realizing that should have or could have changed from single to double queens!  Not coming back to this hotel",Positive,,,,,
"The reservation service was a nightmare.  The woman didn't seem to understand that I wanted to stay two nights.  I think it is ridiculous to charge for parking - how else am I supposed to get to the hotel?  Finally, I was charged tax even though I had a tax exempt number - it took twenty minutes to rectify the situation.  The room was beautiful, although I don't think the thermostat worked.  It was a bit loud - I could hear people upstairs running up and down the hallway.",Negative,,,,,
"Aside from the meal my wife and I had at the 333 on Main (poorly prepared, barely adequate), everything else was exceptional.  Thanks!",Positive,,,,,
Parking was not available in the lot so carrying luggage thru the skywalk to my vehicle was cumbersome as luggage carts were not available. The rest of the stay was comfortable and pleasant.,Positive,,,,,
Everything was perfect. My stay could not have been any better.,Positive,,,,,
"My only complaint was the noise level in the central lobby/bar and hallway areas between 10-midnight.  Fortunately, closing the door between the bedroom and the ""suite"" area of the room significantly reduced it.",Positive,,,,,
"Bed was not comfortable, need some â€œmy pillowsâ€ as yours are not comfortable, traffic noise kept me awake. Counter in bathroom too short with no room for makeup, hair items etc",Positive,,,,,
Always a relaxing experience when staying with you,Neutral,,,,,
Your elevator is unbelievably slow.,Negative,,,,,
"One of the TV remotes did not work, otherwise it was a great suite!",Positive,,,,,
"The beds are comfortable but for people who are short, it would have been good to have a foot stool available. 
It would be nice to get credit on the parking if you stay at the Hyatt.
Thanks for taking care of me during my stay.

Thanks much!",Positive,,,,,
The hot tub and the shower in the hotel room was lukewarm the whole trip.,Negative,,,,,
Awesome place! Staff were so helpful ! Will come again!,Positive,,,,,
"Once again we enjoyed our stay. Dawn, our ""cleaning lady"", was very friendly and kind.",Positive,,,,,
"Danielle at the front desk is the sweetest, most helpful young woman",Positive,,,,,
"The sofa was dirty should get covers if not going to clean. The maid cleaning our room did a great job sorry I didn't get her name I wanted to leave her a tip but couldn't find her before I left pls acknowledged her if you know who she was. My son used one of your wash towels & he broke out in a rash.  your night staff was very helpful got him some cream which helped a little, the following morning your nite staff checked on us sweet, we went to get some oatmeal bath.  While bathing The Shower handle fell off while my son was bathing. the towels were hard if you use vinegar in the rinse will help, loved the amenities, problem kids where in the hot tub couldn't use. love the sauna's. pool was warm nice.  breakfast was very hardy would like if had bananas.  Coffee great.  The Manager Lucaus was very professional & helpful he moved us to another room & they fixed the shower the following morning Great job!   I do love the architecture beautiful design love the court yard feel.  We were snowed in so Tks for the market the pool internet we survived.  FYI no view we requested street view only got the wall in the bed room and roof top in the front room.  Yes I would still come back it was nice.",Positive,,,,,
Need option to turn fan off. It is too loud to sleep. Please remember to clear the alarm clocks after a guest check out.,Positive,,,,,
This was the first time I stayed in this hotel and was very impressed.,Positive,,,,,
I called for early check in and gentleman on the phone was polite and confirmed my room. Danielle was great at check in.,Positive,,,,,
Excellent staff all were very friendly and eager to help.,Positive,,,,,
I love staying there,Positive,,,,,
Wonderful hotel!!! We will definitely be back!!,Positive,,,,,
Best Service and Nice room,Positive,,,,,
"Check in with Emma Lee was a positive experience.  She went out of her way to make me feel welcome.
Tracy Hillesheim greeted me in the morning.  She was inviting and extremely helpful.  She was extremely accommodating and she is the reason why I will be staying at Hyatt Regency Green Bay while I am working in GB.(next 12 weeks), along with a colleague of mine.",Positive,,,,,
"We were very pleased with our stay, the staff was very friendly.  Especially the people at the breakfast area and also the people working by the pool.  The room was very quiet and clean.  Just a very nice stay overall!",Positive,,,,,
"I visit Green Bay frequently, but don't usually need to stay in a hotel. I picked this hotel because it is close to the places we went to visit. I will never stay at another hotel in Green Bay! The staff was so friendly, the entire place is clean and very beautiful. We also had our service dog with us and they were great about it!!",Positive,,,,,
"Why do you have those little refrigerators that are ""coolers?.  Don't understand that, they do nothing.  Put in regular small refrigerators.",Neutral,,,,,
Pleasant experience as always.,Positive,,,,,
The front desk staff and manager were very helpful and friendly.  Great people and nice hotel.,Positive,,,,,
The breakfast buffet was excellent. The lobby and suite were very comfortable.  This is a former Embassy Suite Hotel.  I only wish they had kept the happy hour in the evening.,Positive,,,,,
"The HVAC unit in my room was loud at times and did not seem to heat evenly in the two rooms of the suite. Also, they did not come to try to clean my room until after 6pm. I was gone most of the day and there was ample opportunity for it to be cleaned it may help to make sure rooms that are being occupied for multiple day are cleaned during the day rather than in the evening.",Positive,,,,,
We love it at this hotel and the people that work there are the best,Positive,,,,,
"I really appreciate that there is a restaurant at the hotel (Pub 333)!  I really enjoy adding salmon, chicken or beef on top of a salad.  It's a great way to eat healthy while on a business trip.  I do wish there were some more ""healthy"" food options.  Sometimes the menu options feel a little heavy and greasy--which doesn't feel super great when you're on the go.  Many of the entrees are a little oily, or carb-heavy.

I will say, I always love eating at the restaurant, despite its limited menu because after a long day, going out to eat can be exhausting.  I love being able to call into the restaurant in the lobby and have the food ready for me.  Most of my business trips revolve around going into the P&G plant around the corner.",Positive,,,,,
The breakfast was not as good as my last stay. The pizza from the restaurant was worse than something you could buy in a store.,Positive,,,,,
"The rooms, lobby were so dark and dated.  Very little light
The door room hotel so old there was a gap between bottom and floor",Negative,,,,,
"An excellent value, loved the bedding and the toiletries - very classy.",Positive,,,,,
"1) It would have been helpful to know that there was a parking charge BEFORE being asked for a credit card on file. I would have used my business card if I had known there would be a charge, but instead I gave my personal card, and now have to expense the parking charge. Not a huge deal, but it's more tedious for me to take care of.
2) the fridge in my room (533) did not work, which was disappointing.",Positive,,,,,
Rooms being clean and things working are expected. Itâ€™s not something you should get a plus rating for. I expected more from the Hyatt. The Brand is going downhill.,Positive,,,,,
"Great staff, location and services all well done",Positive,,,,,
The room was good but could have been cleaned a little better. Carpet was not vacuumed very well. I did leave my purse in the room when we checked out and the security and house keeping departments handled it very professionally.,Positive,,,,,
The entire staff was gracious and hardworking. Friendly and always sporting a smile from desk staff to the cleaning personnel. I was very impressed by the entire package.,Positive,,,,,
I had a wonderful time at your establishment. Everything was top notch in my eyes. The room looked better then expect and everone was friendly. Thinking of another trip just so I can stay at you establishment again. ðŸ‘ðŸ¾ðŸ‘ðŸ¾ðŸ‘ðŸ¾ðŸ‘ðŸ¾ðŸ‘ðŸ¾,Positive,,,,,
The rooms were and the pool area was well taken care!! Overall the stay was enjoyable. The staff was also helpful when we needed them.,Positive,,,,,
The drains were slow in room 224. Had to stand in pool of water when showering.,Negative,,,,,
"Mattress uncomfortable, and wife had allergy issues, we think with the pillows.",Negative,,,,,
Thank you - so wonderful!,Positive,,,,,
"Everything was good except the sauna didnâ€™t work.  We were stuck for 2 nights during a snow storm and would have enjoyed a sauna.  The steam room was great. 
The heating fan in our room was loud and sounded like a lawnmower every time it turned on.  Other than that we enjoyed our stay.",Positive,,,,,
Three of us had omeletts made at the buffet and none of us got the proper ingredients that we ordered. Biscuits hard and sausage gravy was terrible. Hardeeâ€™s has better sausage gravy.,Positive,,,,,
